36029071906791552,4543937998094688
1171006272128950272,1155182105886588961
5224210760980236672,2310918355978551332
5944760304490513538,875991914343303170
144119594712829984,2306973444606001154
2377909403639743488,5068817390772352
4791830553294799360,612561327353757696
72068881841259264,4972255609908117504
11540615787446336,9077714599417344
4972888783367180292,1189241166072258592
146648600321998872,72141328997486692
1238771415721713920,2323866239266474264
2533309151315200,1461420286965452823
75998346866720784,5190417266675548197
11540491258560768,4591852682821636
2306406015031313042,576461869565944832
36037867991993408,18014434752791120
4503875579027458,288797741466256664
144399962124337172,4504252634382600
576480543684821024,283708427927680
83599167728914948,2287035759468549
6992120996115513346,1134704599894016
671037448284930052,281483583496448
36092568706286212,76851473333485952
36029076194001024,649664179259576356
35194036814144,4613973019879293060
9007475207440384,19144696497972224
4618451326360096768,5189281466797920258
5188710863146590212,7206041154251407424
2306124522845372418,289357375590107680
333302673490051752,299491582843945216
2416199350618178561,216249752227021312
18084767798919296,1130435594035200
612560055509716996,9587827298861377
4508032035725312,73188184050630705
433542975373447200,2323861822952178193
2306406098384458768,2254016021008400
37717664067551360,2310347778147614784
4792392970756163595,4504703439872128
2306124485280923778,7318912035464209
36028934462652416,1299853985142816768
148618925188464640,4611976574073311232
4619039556493180948,721141097963340288
1409642636967945,4611686156268994816
150870609142808592,8800455098436
4611756404620394784,1154048057449398339
2233400033296,1154048538552828178
11544873173909521,1171218619355366920
4647785184802898560,289357110625435968
360323155636520000,579293395073105922
2918354686224384256,2454465112650809346
4692786271137829376,433483150879365920
111466839624122496,4614219569442127874
613615518486103041,581069919039389920
36318516216832,1445743484402163712
576747206305120768,41188289725612032
4900198008069685378,285874116104232
70927092088850,19792316747793
18691833988161,2258401245873152
2310346746348177665,2305917793218464257
576742261640135185,18014948533862932
5191805962616440833,288230720295928513
585485827231449220,35743860851712
1153207390808580418,4525625427902480
